parameter,old_sbi_lower,old_sbi_upper,extended_base_lower,extended_base_upper,accepted_design_min,accepted_design_max,Battaglia12,L1_m9,fgas-8sigma,Mstar-1sigma
P0,1.8325239419937134,34.34122085571289,1.0,60.0,1.0013239490971941,59.97733949393183,18.1,27.895767029523494,18.23594732761984,33.76527739241058
xc,0.15001100301742554,0.8445029854774475,0.1,4.0,0.18505266725845676,3.9999580866717235,0.497,1.3742797203838153,1.4671672867423466,1.3726902054783838
beta,3.4806270599365234,5.216610908508301,2.8,16.0,2.8625167701393366,15.99951925203204,4.35,8.096506971978265,7.375469738110147,8.376227180858422
alpha_m_P0,0.000311999989207834,0.29225099086761475,-0.2,1.5,-0.1999024908989668,1.499062272068113,0.154,0.24068706895722208,0.27382836676318884,0.13203213879456643
alpha_m_xc,-0.09971799701452255,0.09979499876499176,-0.6,0.4,-0.5969577258452773,0.39858016427606346,-0.00865,-0.3708722120914735,-0.29275997165682033,-0.3834874836107727
alpha_m_beta,-0.0199350006878376,0.09976699948310852,-0.2,0.4,-0.19991194978356364,0.329218320734799,0.0393,-0.027131779826878644,0.06147581487544934,-0.04321071424547937
alpha_z_P0,-1.3634569644927979,-0.2288389950990677,-4.5,0.5,-4.497116797603667,0.49940093606710434,-0.758,-3.2950451155410274,-3.481706690343786,-3.870613895010689
alpha_z_xc,0.14739300310611725,1.3144739866256714,-1.5,2.0,-1.2140424964018166,1.9981388268060982,0.731,1.3212811497156247,1.5604732323948403,1.6021986139875475
alpha_z_beta,0.08380799740552902,0.7458840012550354,-0.5,1.5,-0.4995687026530504,1.4449188392609358,0.415,0.7123048539608454,0.9338324085124106,0.8860745932601031
