cosmology,h,omega_m,omega_b,log10_mass_hinv,redshift,x,ne_native_m3,ne_paper_m3,n200_paper_m3,native_factor
HalfDome,0.68,0.31,0.049,13.2,0.0,0.33805667504982906,546.911366493613,909.0468515156773,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.34493251406609515,536.7051469217528,892.0826186690274,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.3519482028935523,526.5611330702837,875.2217808471149,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.35910658598065903,516.4808166028262,858.466817413509,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.3664105656299884,506.4657110485557,841.8202440755362,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.37386310317494137,496.51735052602135,825.2846107630801,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.3814672201803922,486.6372883891809,808.8624993780923,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.3892259996677556,476.82709579493604,792.5565214136265,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.39714258736497016,467.08836019171673,776.3693154416447,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.4052201929819053,457.42268372880807,760.3035444690846,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.41346209151171004,447.8316815863481,744.361893162071,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.4218716245586293,438.31698022613836,728.5470649385079,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.43045220169282794,428.88021556364964,712.8617789296829,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.4392073018327702,419.52303106186037,697.3087668119467,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.44814047465571655,410.2470757478127,681.8907695099401,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.4572553420369081,401.05400215306634,666.6105337733263,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.4665555995180244,391.94546417949584,651.4708086294316,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.47604501780550706,382.92311489219566,636.4743417147313,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.48572744429935966,373.9886042415535,621.6238754886022,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.49560680465304147,365.1435767168775,606.9221433333058,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5056871043650883,356.38966893429256,592.3718655447193,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5159724304031073,347.7285071619602,577.9757452188883,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5264669528607998,339.1617047860165,563.7364640400441,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5371749266486904,330.690859720983,549.6566779763258,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5481006932192412,322.3175517687503,535.7390128900267,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5592486823270552,314.04333993061516,521.9860600698034,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5706234138248816,305.8697596771908,508.400371692868,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5822294994961488,297.79832018138666,494.9844562257943,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.5940716449247715,289.83050152002374,481.7407737731927,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.6061546514029871,281.96775184998734,468.671731384062,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.6184834178779974,274.2114845651981,455.77967832625797,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.6310629429382032,266.56307544101065,443.0669013400667,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.6438983268398363,259.02385977299895,430.5356198824455,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.6569947735748142,251.59512951739978,418.1879813740209,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.6703575929806511,244.2781304408144,406.02605646147526,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.6839922028932854,237.07405928703778,394.0518343084018,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.6979041313436917,229.98406096919484,382.26721792822286,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.712099018799172,223.00922579557775,370.67401957312626,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.7265826204502337,216.15058673784176,359.2739561934046,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.7413608085439792,209.40911675039308,348.06864498188645,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.7564395747649565,202.78572614999945,337.05959901846387,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.7718250326644344,196.28126006476555,326.2482230299171,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.787523420139087,189.89649596175457,315.63580928045775,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.8035411019600939,183.6321412625754,305.22353360848587,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.8198845723536787,177.48883105630648,295.01245162513476,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.8365604576341369,171.46712591909866,285.00349509013023,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.853575518890414,165.56750984975736,275.1974684804261,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.8709366547273301,159.79038833048824,265.5950457668796,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.888650904062557,154.13608652184922,256.1967674139963,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.9067254489804847,148.60484760075084,247.00303761744402,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.9251676176441339,143.1968312500928,238.01412179360665,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.9439848872662937,137.91211230833107,229.23014433496684,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.963184887141091,132.75067958690826,220.65108664450253,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.9827754017372201,127.71243486308222,212.27678546161968,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.0027643738540857,122.7971920552203,204.10693149137097,215.99585198237747,0.6016316602183194
