panel,log10_mass_hinv,x,figure_no_c_x3_ne_n200,halfdome_native_x3_ne_n200,halfdome_paper_x3_ne_n200,figure_simulation_x3_ne_n200,native_percent,paper_percent
0,13.3,0.04249783615797887,0.0012377358263731483,0.000766819345386121,0.001274566144188387,0.0013981998727083578,-38.046606630667,2.9756202438738333
0,13.3,0.04400392123471406,0.0013554966347414956,0.000839785254030882,0.0013958461789164182,0.0015717925272086164,-38.04593589485111,2.9767351051090962
0,13.3,0.04556337741954023,0.001484296947039881,0.000919594785724303,0.0015285013182162015,0.0016593905575816167,-38.04509349977159,2.978135289200501
0,13.3,0.047178102520416675,0.0016251507536515356,0.0010068773716937697,0.0016735777690429312,0.0017688225898242547,-38.044063331883116,2.979847579222139
0,13.3,0.048850052026046795,0.0017791604606884224,0.0011023145139500022,0.0018322082876256805,0.002000704858330724,-38.04299621612115,2.981621282024882
0,13.3,0.05058125391784839,0.0019475260936201546,0.0012066442967133132,0.0020056196781190797,0.0022175349065328884,-38.042201300094256,2.9829425489718675
0,13.3,0.05237380804707604,0.0021315548980239594,0.001320685639380001,0.0021951731045881996,0.0023325774174714673,-38.04120923161154,2.984591512196899
0,13.3,0.0542298886818235,0.002332666510818118,0.001445321108276138,0.0024023355216240805,0.0026445734807518883,-38.03995978108197,2.986668282108096
0,13.3,0.0561517471442895,0.0025524061236806683,0.0015814991804150467,0.0026286834370404548,0.0028548331370526407,-38.038889432906394,2.9884473576560655
0,13.3,0.05814171454150591,0.0027924537530135945,0.0017302622322428816,0.0028759494332711915,0.0029942466482384684,-38.03792702473242,2.9900470211006835
0,13.3,0.060202204592840425,0.003054633520330792,0.0018927512123621574,0.0031460299341216818,0.0032985899090729356,-38.03671701483889,2.9920582348939906
0,13.3,0.06233571655770344,0.0033409269067446556,0.0020701975168639017,0.003440971700380048,0.0035453281621120334,-38.035234692366615,2.994522072105865
0,13.3,0.06454483826701019,0.003653483285871505,0.002263909614386751,0.003762949598705005,0.003926888442934568,-38.03421454967144,2.9962176987868183
0,13.3,0.06683224926207516,0.003994637639119638,0.0024753554866278147,0.004114403629838165,0.004218832766482817,-38.033040534476406,2.9981690841155206
0,13.3,0.0692007240447462,0.004366920861928136,0.0027061122273762178,0.004497955154810548,0.0044880258742328065,-38.031571605321425,3.000610659670988
0,13.3,0.07165313544272028,0.004773077357204873,0.00295787790965579,0.0049164266198730945,0.004835992229240881,-38.02996079267545,3.003288066384213
0,13.3,0.07419245809412323,0.005216081837350191,0.0032324641067069827,0.005372829125272413,0.005273465176232243,-38.02888437139439,3.005077236323639
0,13.3,0.07682176129204271,0.0056991466091042475,0.0035319058140131305,0.005870545131769623,0.005703169683497237,-38.027461719075674,3.007441892994467
0,13.3,0.07954425539316265,0.006225767061101822,0.0038583731931202993,0.006413181765933291,0.006181261342962752,-38.0257379491893,3.010307051197336
0,13.3,0.08236323223570861,0.0067996992462552915,0.0042141740864734024,0.0070045750001656625,0.006909886838579737,-38.024110569387034,3.0130119949525636
0,13.3,0.08528211108122806,0.007425029165332048,0.00460182762527472,0.007648911999752165,0.0073720242179164275,-38.02276701132761,3.015245185371662
0,13.3,0.08830443236682124,0.008106156491295303,0.005024109135955765,0.008350805763999557,0.007959081766889885,-38.02106903128699,3.018067477070896
0,13.3,0.0914338619994938,0.008847832660595226,0.005483978512217805,0.009115176070068828,0.008737811526344834,-38.01896212796504,3.021569459199247
0,13.3,0.0946741958026973,0.009655192176187842,0.005984532859658317,0.009947170761403508,0.009407771262903332,-38.01746510631144,3.024057728604923
0,13.3,0.09802936412045123,0.01053375572842878,0.006529261346833764,0.010852589347549351,0.0102284139213033,-38.01582725890995,3.0267800710443105
0,13.3,0.10150343658463085,0.011489485973578187,0.007121900145257884,0.011837641893170147,0.010953556239792262,-38.01376178502874,3.0302131913698904
0,13.3,0.10510062705120354,0.012528799402125888,0.007766433380385254,0.012908950598721783,0.012010611830333391,-38.01135183737202,3.034218877599648
0,13.3,0.10882529871140077,0.013658602862312116,0.00846698985955268,0.014073378147154338,0.013064042074727104,-38.00983933052582,3.036732885665061
0,13.3,0.11268196938402557,0.014886316823080977,0.009228338844832163,0.015338851751058771,0.014132369455880929,-38.00791052274406,3.0399388469023236
0,13.3,0.1166753169953145,0.016219874943702185,0.010055449270944008,0.01671363050823339,0.015502674190127717,-38.00538348263706,3.0441391579465904
0,13.3,0.12081018525300107,0.017667873837662995,0.010953545050285712,0.018206397326747902,0.016995840394064005,-38.00303788146937,3.048037890880373
0,13.3,0.12509158952146282,0.019239453288748667,0.01192823168904153,0.01982646937947552,0.018269081550601318,-38.00119208160025,3.0511058808003755
0,13.3,0.12952472290507838,0.020944426021354705,0.012985791769187212,0.02158428923849344,0.01967024480203326,-37.99881765226203,3.055052530378899
0,13.3,0.1341149625471731,0.02279329687651544,0.014132783134292982,0.023490757000993755,0.02165588171593624,-37.99588005693737,3.0599352443696937
0,13.3,0.13886787615219376,0.02479730182135207,0.015375899213526502,0.025556998127304196,0.023269514789228556,-37.993660260702775,3.063624871065529
0,13.3,0.14378922873902336,0.026968380524364177,0.01672270979698871,0.027795594718071175,0.025128628003038257,-37.99142005623649,3.0673484192336398
0,13.3,0.1488849687732767,0.029319298191259176,0.018181319475937822,0.030220017791849928,0.027307949740894066,-37.9885583981743,3.0721049143641377
0,13.3,0.15416131810988917,0.03186369866758186,0.0197602481597092,0.03284442868671277,0.029242003058071883,-37.98507710652787,3.0778913313309397
0,13.3,0.15962465651968585,0.03461603142067721,0.021467809861824273,0.03568264651171127,0.03141637205027261,-37.98304143842181,3.081274910089604
0,13.3,0.16528161072718012,0.037591604102445934,0.023314180172767957,0.038751584589660285,0.0338808631190292,-37.98035298192822,3.0857435188270443
0,13.3,0.17113904230203986,0.040806701701639525,0.025309563563680654,0.042068204247257115,0.03659771175463934,-37.97694371690968,3.0914102169813606
0,13.3,0.17720405598178843,0.044278585940159494,0.027464465792993543,0.0456499675948358,0.03967430944474186,-37.973480385957835,3.0971667806412473
0,13.3,0.18348400828945466,0.048025470125131864,0.029789722181691097,0.04951488452399769,0.04328543221910297,-37.97099309163857,3.1013010283607922
0,13.3,0.1899865164566245,0.052066592543297346,0.03229804811920703,0.053684089875667036,0.04663502097031403,-37.967809027739364,3.106593409247238
0,13.3,0.19671946766271803,0.056422102791025976,0.035002159909741704,0.05817872001124436,0.050692214702802045,-37.96374438687376,3.113349438117319
0,13.3,0.2036910286016974,0.06111341041963398,0.03791446716205003,0.06301940151934769,0.054993461851701134,-37.960478883912515,3.118777182661314
0,13.3,0.21090965538781115,0.06616271212664729,0.04104902890644203,0.06822950256897418,0.059786739252508686,-37.95745732450201,3.1237994572693495
0,13.3,0.21838410381238835,0.07159350477407661,0.04442114356731632,0.07383445138375336,0.06488281160440308,-37.95366813303316,3.1300976488696453
0,13.3,0.22612343996412504,0.07743001330948791,0.04804619329851983,0.07985981535792994,0.07034645395166361,-37.948876353050466,3.138062289528598
0,13.3,0.2341370512257435,0.08369777345331796,0.05193792478365479,0.08632844349449233,0.0756059391536637,-37.94587043271477,3.1430585697021174
0,13.3,0.2424346576603636,0.09042316879286996,0.05611451762222285,0.093270552952383,0.08152896434924789,-37.94232344283029,3.1489541867698367
0,13.3,0.2510263238013967,0.09763344830718744,0.06059348990847335,0.10071526137185875,0.08892916977522147,-37.937775466225474,3.156513590480703
0,13.3,0.2599224708602629,0.10535690615493568,0.06539202775193871,0.10869113458591813,0.09493504188405189,-37.93285116423735,3.1646985021363427
0,13.3,0.2691338893667386,0.11362245331844799,0.07052592750731096,0.11722442845131953,0.10332436776520292,-37.929585704641525,3.1701261746006626
0,13.3,0.2786717522572671,0.12246006183837835,0.07601661762240727,0.12635076018908722,0.11180715757468314,-37.925380339319695,3.177116108142908
0,13.3,0.28854762842710635,0.13189980573486834,0.08188342934246405,0.1361022611621707,0.12100258538483949,-37.91997729924043,3.1860967526742945
0,13.3,0.2987734967627535,0.14197294552142314,0.08814336309538429,0.1465071885734852,0.1307320951818019,-37.915380446844495,3.1937373951136605
0,13.3,0.3093617606716653,0.15271034266738537,0.09481550911170046,0.15759727318421693,0.1407005512098077,-37.91153404834158,3.2001306731893386
0,13.3,0.320325263126899,0.16414342345716967,0.10192239859490955,0.1694099651569601,0.15174251766722652,-37.906498811690504,3.208499974514445
0,13.3,0.33167730224492176,0.17630371079186205,0.10948420336791173,0.18197879301794428,0.1640910157209751,-37.90022746760848,3.2189238675651266
0,13.3,0.34343164741548354,0.18922216934207778,0.1175144454292429,0.1953262323106457,0.17699057161114815,-37.89604789024531,3.2258709377403383
0,13.3,0.3556025560031184,0.20292959524799606,0.12603641816497785,0.20949100005681534,0.1909720965984972,-37.89155395941566,3.2333405094514323
0,13.3,0.3682047906405315,0.21745537568948575,0.13507097673241877,0.2245077605846148,0.20690389156387584,-37.88565754967003,3.243141206681166
0,13.3,0.3812536371348488,0.23282869561434866,0.14463582295162147,0.2404059369135198,0.22152376898821097,-37.87886730629096,3.2544275864182515
0,13.3,0.39476481238703337,0.2490763510618365,0.15473883807016095,0.2571986288321487,0.23794898655015936,-37.874937780927674,3.260959033519706
0,13.3,0.4087549221551199,0.2662240218452745,0.1654060225050099,0.2749290528443725,0.25603864774459656,-37.86961020326653,3.269814248451719
0,13.3,0.4232408288260246,0.2842950643621871,0.176652937715807,0.2936230743769425,0.2752411187442963,-37.86281935209605,3.2811016384272085
0,13.3,0.4382401029958986,0.30330964856687104,0.18848714119015683,0.31329325508195305,0.29497623000270445,-37.85652976067432,3.291555861230999
0,13.3,0.45377093794701173,0.3232853263231792,0.20091560352779234,0.333951181117836,0.3164400631237251,-37.85192609486312,3.299207828565187
0,13.3,0.4698521717151884,0.3442354304936129,0.21395714045115646,0.35562812697309837,0.340239852629058,-37.845694690882105,3.309565335313991
0,13.3,0.48650330993929325,0.36617019142857293,0.22761939098196035,0.37833678982147,0.3638609234086957,-37.837815226321894,3.3226621603005047
0,13.3,0.5037445495204826,0.3890941069152834,0.24189058868096824,0.40205761211634256,0.3884169260814527,-37.83236898685938,3.3317146085385607
0,13.3,0.5215968031199181,0.41300709634323385,0.25677852565998444,0.4268035454896189,0.4153353454919219,-37.82709112421983,3.340487189818009
0,13.3,0.5400817245246565,0.43790195577935914,0.27228754978121933,0.4525818167255559,0.4433058153088688,-37.819974040395955,3.3523168262791225
0,13.3,0.5592217349124862,0.4637662816342328,0.2884116853187539,0.47938249329181815,0.47455026925014404,-37.81098438152066,3.3672589569376354
0,13.3,0.5790400500475623,0.4905804400784272,0.3051081230163431,0.5071344199300047,0.5038281575427415,-37.8067085251979,3.374366056855238
0,13.3,0.5995607084398344,0.5183162593960848,0.3223897503774739,0.5358590175598231,0.5367912753191574,-37.800571652314034,3.384566439065262
0,13.3,0.6208086005024162,0.5469389370632369,0.34023686778716916,0.5655235425338228,0.5700405225168204,-37.792531353855495,3.397930593564058
0,13.3,0.642809498742267,0.5764026136637896,0.3586113379643246,0.596064605101055,0.602711639073371,-37.784574624864675,3.4111558433588263
0,13.3,0.6655900890208052,0.6066537718328532,0.37746181232117854,0.6273968563825342,0.6344150633841185,-37.77969744080355,3.419262438113746
0,13.3,0.689178002922367,0.637628840791138,0.39677855071444945,0.6595041068325209,0.6710395327071458,-37.77280365452942,3.4307209213186196
0,13.3,0.7136018512697767,0.6692536938569968,0.4165187229323209,0.6923151663613831,0.7082547020831154,-37.763702052674695,3.445849117616362
0,13.3,0.7388912588276775,0.7014432100326999,0.4365976571569232,0.7256892979975342,0.7457423294382494,-37.75723381276014,3.456600280399602
0,13.3,0.765076900235717,0.7341027533412664,0.4569655311001422,0.7595436897957117,0.7868580025726094,-37.75182983304926,3.465582486736496
0,13.3,0.7921905372151729,0.7671254401266274,0.4775804035436091,0.7938086293036927,0.8241836606730855,-37.74415779187611,3.4783345436517843
0,13.3,0.8202650570941481,0.8003937886631407,0.4983729781066888,0.8283689357801413,0.8646972714627188,-37.734027279359914,3.4951729402755705
0,13.3,0.8493345126980636,0.8337799016642766,0.5191971730614875,0.8629817999822048,0.9042398031421864,-37.72970876065283,3.5023509513289364
0,13.3,0.8794341636538346,0.8671436174127767,0.5400239949007035,0.8975990304511904,0.9443196964410767,-37.723811366803616,3.5121532842830483
0,13.3,0.9106005191578306,0.9003359491258182,0.5607704767938003,0.9320827241543581,0.9828411716012758,-37.715418634757306,3.526103235060707
0,13.3,0.942871382259491,0.9331975916099272,0.5813216501439936,0.9662417864329885,1.025273259113544,-37.70647766663079,3.5409644345582025
0,13.3,0.9762858957143153,0.965559521772345,0.6015174628351276,0.9998101872113074,1.062595222816417,-37.702705087408326,3.547235014170136
0,13.3,1.01088458946184,0.9972462802612152,0.6213200454113479,1.0327249819031865,1.1013805963496384,-37.696428885289855,3.557666981989449
0,13.3,1.0467094297861916,1.0280747589492232,0.6406194073935598,1.0648033502111451,1.1412957797357792,-37.68746856032868,3.5725603553832697
0,13.3,1.0838038702188493,1.057854024889129,0.6592420580729862,1.0957569251487882,1.1743869656179375,-37.68118827717466,3.582999106481788
0,13.3,1.12221290424535,1.0863919243586593,0.6770665470378578,1.1253838383308563,1.208554140358021,-37.67750552476195,3.5891203807700833
0,13.3,1.1619831198798762,1.1134915648189152,0.694027642027715,1.1535756641794201,1.2434179192614767,-37.671046287577106,3.599856579697014
0,13.3,1.2031627561739164,1.1389571156939047,0.7100069987111348,1.1801356970700119,1.276662806981667,-37.66165653405079,3.6154637263071443
0,13.3,1.2458017617275419,1.1625930658228545,0.7247724066805633,1.204677969270365,1.300929172497885,-37.658977333776946,3.61991694985071
0,13.3,1.2899518552742695,1.1842062070430606,0.7382862709224449,1.227139992357677,1.3221851057695522,-37.655598616905486,3.6255328725071534
0,13.3,1.335666588412999,1.2036107663542834,0.7504603476237452,1.2473750921808522,1.3413085047596731,-37.64924935850509,3.6360862705748342
1,13.9,0.04249784270781225,0.0031166343715130712,0.0019116457489050651,0.003177435423214545,0.0029152216771418226,-38.66313718484101,1.9508560983993783
1,13.9,0.04400391568584374,0.003408804909625589,0.0020908459498265894,0.003475292422389915,0.0032179960181593103,-38.663373080619024,1.9504640050412636
1,13.9,0.0455633876337943,0.0037277862241808114,0.0022864996116238583,0.003800497485112629,0.0034571057251129443,-38.66333866485808,1.9505212090802138
1,13.9,0.04717809987635755,0.0040759579397103085,0.0025000659641415427,0.004155476065262792,0.0038098857282923364,-38.663106903423284,1.9509064305539559
1,13.9,0.0488500629770972,0.004455909148117321,0.002733129572403383,0.00454286194215841,0.004250741577247163,-38.66280748658968,1.9514041052167252
1,13.9,0.050581251083062356,0.004870436759360061,0.0029873795055367484,0.004965462596254811,0.004519587308693144,-38.66300594509171,1.9510742380984158
1,13.9,0.05237381978807091,0.0053225774543987844,0.003264717292449458,0.005426438647302506,0.00498069457817492,-38.66285046258239,1.9513326728178848
1,13.9,0.05422988564255264,0.005815621378648738,0.0035671555681498664,0.005929135389675838,0.005417437635240188,-38.66252054774074,1.9518810396400799
1,13.9,0.05615175973221082,0.006353119853084799,0.0038968531146579815,0.006477141035503178,0.006072505560868664,-38.6623705396359,1.9521303750968944
1,13.9,0.05814171128299989,0.006938926942337102,0.004256163634323224,0.007074367783069714,0.006745217551461988,-38.662509784406176,1.951898929879703
1,13.9,0.06020221808878051,0.007577203176180212,0.004647683758696882,0.007725131614600095,0.007322849441496626,-38.662278803511605,1.9522828539811687
1,13.9,0.06233571306414793,0.008272435056990813,0.00507416675615995,0.00843400886568809,0.008060286740815265,-38.66175169460039,1.9531589862495924
1,13.9,0.06454481656282932,0.009029483255669789,0.005538506893523995,0.009205810231985112,0.00879671946100016,-38.661972820579095,1.9527914424627202
1,13.9,0.06683224551651507,0.00985357869227354,0.006043995020146256,0.010046005587460305,0.009424810441934108,-38.66192975263376,1.9528630277003023
1,13.9,0.06920070077495312,0.010750369217083102,0.006594101733248664,0.01096036357337944,0.010396675528587185,-38.66162547449843,1.9533687825590285
1,13.9,0.07165313142697746,0.011725936407627077,0.0071925614218751,0.011955091291680148,0.01138434737222791,-38.66109134621662,1.9542565820501734
1,13.9,0.07419243314578386,0.012786814756251638,0.007843258675521056,0.01303664549946541,0.012467696876798825,-38.661356834888174,1.953815300965589
1,13.9,0.0768217677501647,0.013940077165935845,0.008550668201741964,0.014212463816547002,0.013829544420617639,-38.661256319036106,1.9539823730442718
1,13.9,0.0795442397901835,0.015193243868353835,0.009319429854776769,0.015490258360730128,0.014877613637853457,-38.660697244593656,1.9549116367107544
1,13.9,0.08236323915968162,0.016554483953186115,0.01015445249319111,0.016878188374438732,0.016160591821913456,-38.66041054552618,1.9553881725821842
1,13.9,0.08528209435274159,0.01803251250992601,0.011061026363339234,0.018385047022501145,0.01756210183504366,-38.660647775784525,1.954993861122123
1,13.9,0.08830443979024902,0.019636649978898087,0.01204506059804198,0.020020656149762936,0.01928755508482464,-38.66030809233841,1.9555584647967361
1,13.9,0.09143384406431244,0.02137692879125912,0.013112694147333242,0.02179521959096189,0.02117250721073338,-38.659597571869476,1.9567394539565797
1,13.9,0.09467420376160757,0.02326403712852099,0.01427023496568891,0.02371922209098927,0.022901160534764584,-38.65967937184023,1.9566034904158425
1,13.9,0.09802934489153117,0.025309398239468376,0.015524850698245347,0.025804577326618262,0.025150917262907628,-38.659739945790804,1.9565028076316882
1,13.9,0.10150344511765019,0.02752524359260686,0.016884191027864207,0.02806400019197343,0.027365530001205594,-38.659249386627714,1.9573181888616453
