panel,curve,x,x3_ne_over_n200
0,simulation,0.04249783615797887,0.0013981998727083578
0,simulation,0.04400392123471406,0.0015717925272086164
0,simulation,0.04556337741954023,0.0016593905575816167
0,simulation,0.047178102520416675,0.0017688225898242547
0,simulation,0.048850052026046795,0.002000704858330724
0,simulation,0.05058125391784839,0.0022175349065328884
0,simulation,0.05237380804707604,0.0023325774174714673
0,simulation,0.0542298886818235,0.0026445734807518883
0,simulation,0.0561517471442895,0.0028548331370526407
0,simulation,0.05814171454150591,0.0029942466482384684
0,simulation,0.060202204592840425,0.0032985899090729356
0,simulation,0.06233571655770344,0.0035453281621120334
0,simulation,0.06454483826701019,0.003926888442934568
0,simulation,0.06683224926207516,0.004218832766482817
0,simulation,0.0692007240447462,0.0044880258742328065
0,simulation,0.07165313544272028,0.004835992229240881
0,simulation,0.07419245809412323,0.005273465176232243
0,simulation,0.07682176129204271,0.005703169683497237
0,simulation,0.07954425539316265,0.006181261342962752
0,simulation,0.08236323223570861,0.006909886838579737
0,simulation,0.08528211108122806,0.0073720242179164275
0,simulation,0.08830443236682124,0.007959081766889885
0,simulation,0.0914338619994938,0.008737811526344834
0,simulation,0.0946741958026973,0.009407771262903332
0,simulation,0.09802936412045123,0.0102284139213033
0,simulation,0.10150343658463085,0.010953556239792262
0,simulation,0.10510062705120354,0.012010611830333391
0,simulation,0.10882529871140077,0.013064042074727104
0,simulation,0.11268196938402557,0.014132369455880929
0,simulation,0.1166753169953145,0.015502674190127717
0,simulation,0.12081018525300107,0.016995840394064005
0,simulation,0.12509158952146282,0.018269081550601318
0,simulation,0.12952472290507838,0.01967024480203326
0,simulation,0.1341149625471731,0.02165588171593624
0,simulation,0.13886787615219376,0.023269514789228556
0,simulation,0.14378922873902336,0.025128628003038257
0,simulation,0.1488849687732767,0.027307949740894066
0,simulation,0.15416131810988917,0.029242003058071883
0,simulation,0.15962465651968585,0.03141637205027261
0,simulation,0.16528161072718012,0.0338808631190292
0,simulation,0.17113904230203986,0.03659771175463934
0,simulation,0.17720405598178843,0.03967430944474186
