parameter,fiducial,prior_low,prior_high,prior_width,conditional_sigma,conditional_sigma_over_prior_width,data_marginalized_sigma,data_marginalized_sigma_over_prior_width,prior_regularized_sigma,prior_regularized_sigma_over_prior_width,estimable_fraction
P0,18.1,1.832523941993713,34.34122085571289,32.50869691371918,0.01931175643980896,0.0005940489245405312,,,4.354499725806879,0.1339487626146347,0.9091743576758065
xc,0.497,0.1500110030174255,0.8445029854774475,0.694491982460022,0.0002561674859609194,0.000368855929846052,,,0.09801584268063823,0.1411331522265348,0.893048667003952
beta,4.35,3.480627059936523,5.216610908508301,1.735983848571777,0.002045779420497704,0.00117845533078018,,,0.4447099721664928,0.2561717221806891,0.6336818271336842
alpha_m_P0,0.154,0.000311999989207834,0.2922509908676147,0.2919389908784069,0.0009023811317320381,0.003090992159070254,,,0.06750194877606104,0.2312193673512276,0.5763689869155799
alpha_m_xc,-0.00865,-0.09971799701452255,0.09979499876499176,0.1995129957795143,0.0004598323530697823,0.002304773938525548,,,0.0455276032920101,0.228193672868927,0.72533939205114
alpha_m_beta,0.0393,-0.0199350006878376,0.09976699948310852,0.1197020001709461,0.0004271701423007261,0.003568613236960832,,,0.03103151077304534,0.2592397013310498,0.3685338517383626
alpha_z_P0,-0.758,-1.363456964492798,-0.2288389950990677,1.13461796939373,0.002301218681122571,0.002028188115469563,,,0.273897277263925,0.2414004401942257,0.5141774497329478
alpha_z_xc,0.731,0.1473930031061172,1.314473986625671,1.167080983519554,0.001051012042523588,0.0009005476546743668,,,0.2189655469480757,0.1876181259399356,0.6316039078120275
alpha_z_beta,0.415,0.08380799740552902,0.7458840012550354,0.6620760038495064,0.000949546932543801,0.001434196266022108,,,0.1376583718563871,0.2079192888067238,0.7480715599365014
