mode,eigenvalue,relative_eigenvalue,identified,sigma_in_prior_width_coordinates,largest_components
1,13100288.25569735,1,True,0.0002762864422762811,xc:+0.7485; P0:+0.4648; alpha_z_xc:+0.3007
2,136274.5758553965,0.01040241048101597,True,0.00270889755060158,alpha_z_xc:+0.5953; alpha_m_xc:-0.3913; alpha_z_P0:+0.3346
3,942.9660524739896,7.198055753192236e-05,True,0.03256506661958219,P0:-0.5942; alpha_z_beta:-0.5322; alpha_z_xc:+0.3545
4,25.39101156817161,1.938202509179827e-06,True,0.198454064632916,alpha_m_P0:+0.5657; P0:+0.5340; xc:-0.3481
5,5.857563935308689,4.471324463231732e-07,True,0.4131820834195831,alpha_m_beta:-0.5114; alpha_z_P0:+0.4361; alpha_z_beta:-0.3920
6,0.5787623708200029,4.417936151659089e-08,True,1.314467511461084,beta:+0.6140; alpha_m_xc:+0.4838; alpha_z_beta:+0.3986
7,0.04847714613143313,3.700464080273219e-09,False,4.541836305892765,alpha_z_xc:-0.4735; alpha_z_beta:-0.4464; alpha_m_beta:+0.4455
8,0.004114846491642086,3.141035075966767e-10,False,15.58917674495734,alpha_z_P0:+0.6336; alpha_m_beta:+0.4820; alpha_m_P0:+0.4095
9,0.0004235912272646954,3.23344966917407e-11,False,48.58772015157725,alpha_m_xc:-0.4995; beta:+0.4662; alpha_m_beta:-0.4479
