mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,7.598165353602262389e-07,7.598165353774747944e-07,7.603300870884636223e-07,2.270095222911550081e-11,6.758891184093229754e-04
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,7.526736976798877172e-07,7.526736975981940364e-07,7.537426364268828520e-07,1.085379564003119413e-10,1.420188788701093330e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,7.374084293395020308e-07,7.374084290029175015e-07,7.393856307306989363e-07,4.564424394004618080e-10,2.681283956799784818e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,6.955069668297305171e-07,6.955069653429285026e-07,6.986339916288389820e-07,2.137724108841609905e-09,4.496036629743738189e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,5.973267570944207258e-07,5.973267539018578329e-07,6.002923576371738750e-07,5.344751197178254642e-09,4.964787710463047787e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,3.562913033772909058e-07,3.562913001855640344e-07,3.601993848660542350e-07,8.958194741559566410e-09,1.096878158888126009e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,1.769415708381334623e-07,1.769415705355739023e-07,1.859016100413283860e-07,1.709940522509612038e-09,5.063840656976870136e-02
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,5.104330823661198486e-08,5.104330890187127121e-08,6.168246005587300347e-08,1.303323204915329825e-08,2.084338219212413801e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,6.712238501569855271e-07,6.712238501763226540e-07,6.712238042082114777e-07,2.880873317678833700e-11,6.845521660636677552e-08
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,6.650991800424575099e-07,6.650991799871286825e-07,6.650990967681451653e-07,8.318878919055805454e-11,1.252058562384306128e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,6.520319943393699737e-07,6.520319941546381230e-07,6.520318394257917596e-07,2.833171475202789225e-10,2.375858539904740496e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,6.162496430696991694e-07,6.162496420172790495e-07,6.162493411418244117e-07,1.707782137927438271e-09,4.899440967376378353e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,5.323462716801569728e-07,5.323462697598773772e-07,5.323457899886178363e-07,3.607200205202332199e-09,9.048462715766092401e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,3.234542055858886215e-07,3.234542029045000537e-07,3.234537434790053107e-07,8.289855357723752149e-09,1.428662466995689329e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,1.637365584594448224e-07,1.637365579479413455e-07,1.637363086932839572e-07,3.123941771931981748e-09,1.525414746850195513e-06
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,4.811481331308566585e-08,4.811481366752062046e-08,4.811474282154622370e-08,7.366441456824190936e-09,1.465069374484428977e-06
1.000000000000000000e+12,5.000000000000000000e-01,3.000000000000000062e-03,4.899867643182186544e-07,4.899867643281800795e-07,4.899867632942182899e-07,2.032995993772601651e-11,2.089853068376612555e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000021e-02,4.859836178676576234e-07,4.859836178515102109e-07,4.859836168490921399e-07,3.322619956946937236e-11,2.095884354957888718e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-02,4.774922815849442629e-07,4.774922815599384738e-07,4.774922804779101055e-07,5.236899802696370898e-11,2.318433667269914622e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000056e-01,4.544455948187515243e-07,4.544455944917706545e-07,4.544455941976177113e-07,7.195160023343305511e-10,1.366794677437610517e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-01,4.003983111826107475e-07,4.003983108144666705e-07,4.003983095367748031e-07,9.194446315419213533e-10,4.110496720777234714e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000000e+00,2.597157248323528595e-07,2.597157235342490863e-07,2.597157262017402786e-07,4.998171654335692438e-09,5.272639658215894087e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.000000000000000000e+00,1.416004077487306624e-07,1.416004072666741271e-07,1.416004087548031246e-07,3.404344250945712247e-09,7.105011023966767425e-09
1.000000000000000000e+12,5.000000000000000000e-01,4.000000000000000000e+00,4.548637678794760340e-08,4.548637678505827476e-08,4.548637583804439068e-08,6.352074422011355637e-11,2.088324635440841348e-08
1.000000000000000000e+12,1.000000000000000000e+00,3.000000000000000062e-03,4.398186989788154107e-07,4.398186989667828842e-07,4.398186990021971729e-07,2.735789372820818244e-11,5.316236340036084584e-11
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000021e-02,4.365835960292008030e-07,4.365835959804831736e-07,4.365835960663492328e-07,1.115882941604695588e-10,8.508882487490154745e-11
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-02,4.297550733149985028e-07,4.297550731476302452e-07,4.297550735597221502e-07,3.894503608492527746e-10,5.694491544971924668e-10
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000056e-01,4.113743235332944536e-07,4.113743229084835646e-07,4.113743238423041429e-07,1.518837833280883842e-09,7.511642419189001885e-10
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-01,3.683902390281346216e-07,3.683902372304050233e-07,3.683902416522343277e-07,4.879959880632611657e-09,7.123152068189142483e-09
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000000e+00,2.527991899126781695e-07,2.527991868423733652e-07,2.527991906080260447e-07,1.214523193127092782e-08,2.750593752764984856e-09
