mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,8.581117835784543193e-07,8.581117836108613763e-07,8.587377745923528483e-07,3.776556845025424991e-11,7.294982144261386026e-04
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,8.493964441847928243e-07,8.493964441324632347e-07,8.506912142128463162e-07,6.160794097098687416e-11,1.524341238908988316e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,8.307047546116466541e-07,8.307047544748284926e-07,8.330717000396972120e-07,1.647013636585370477e-10,2.849322114638841441e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,7.791295922417774731e-07,7.791295911371961115e-07,7.827475013137384414e-07,1.417711947837574371e-09,4.643526709787959561e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,6.583241897386998520e-07,6.583241882406526281e-07,6.614463422236017714e-07,2.275546417962459600e-09,4.742575973307516790e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,3.698242791191171015e-07,3.698242767275088282e-07,3.738045714889102594e-07,6.466877366939627336e-09,1.076265836108381002e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,1.687618649136609781e-07,1.687618645741019867e-07,1.778620993915558525e-07,2.012059963085732761e-09,5.392352402926214872e-02
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,4.164177502850555811e-08,4.164177520593665315e-08,5.116301203352388004e-08,4.260891639518149532e-09,2.286462812524354682e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,7.327448193726395915e-07,7.327448193499501200e-07,7.327447645823186924e-07,3.096500833521531604e-11,7.477408159317633363e-08
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,7.255347172203653858e-07,7.255347171022309712e-07,7.255346186558149240e-07,1.628239765238959080e-10,1.358509085225279023e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,7.101002194614975761e-07,7.101002191469606791e-07,7.101000372887777923e-07,4.429472344469331802e-10,2.565450830660509496e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,6.676186276276454725e-07,6.676186261954836476e-07,6.676182767943620944e-07,2.145179589518875218e-09,5.254995425474362492e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,5.679807282117494239e-07,5.679807254824505551e-07,5.679801832572453982e-07,4.805266629048787763e-09,9.594594974071668503e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,3.260789966419765706e-07,3.260789932842795754e-07,3.260785201390427846e-07,1.029718876832674823e-08,1.461311334605142065e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,1.521492617101104570e-07,1.521492610612269182e-07,1.521490353201209511e-07,4.264782749174855780e-09,1.487946684419760857e-06
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,3.832223330745541912e-08,3.832223370112409943e-08,3.832218262151635006e-08,1.027259233232769020e-08,1.322624875843558812e-06
1.000000000000000000e+12,5.000000000000000000e-01,3.000000000000000062e-03,4.730234757392262358e-07,4.730234757561288841e-07,4.730234746684190952e-07,3.573319418137543835e-11,2.263750520370422237e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000021e-02,4.688856566937558538e-07,4.688856566920459590e-07,4.688856556386132642e-07,3.646749568986251688e-12,2.250319597330019405e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-02,4.600847854736055232e-07,4.600847854756304084e-07,4.600847843404804217e-07,4.401146114219045558e-12,2.462861470320376611e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000056e-01,4.360878688586283829e-07,4.360878686459192987e-07,4.360878683596105158e-07,4.877666048841433621e-10,1.144305761258124221e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-01,3.797073239091427833e-07,3.797073237625265153e-07,3.797073224388406000e-07,3.861296837825989314e-10,3.872198672816296039e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000000e+00,2.354653539994177027e-07,2.354653531079146522e-07,2.354653560087202229e-07,3.786132629635119429e-09,8.533325601689512041e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.000000000000000000e+00,1.199578887567445144e-07,1.199578884331586585e-07,1.199578903769669501e-07,2.697495449233144882e-09,1.350659339927062774e-08
1.000000000000000000e+12,5.000000000000000000e-01,4.000000000000000000e+00,3.357632267756570803e-08,3.357632263374734371e-08,3.357632186281484737e-08,1.305037633514416484e-09,2.426563705526518788e-08
1.000000000000000000e+12,1.000000000000000000e+00,3.000000000000000062e-03,3.790046077764723252e-07,3.790046077733557734e-07,3.790046078060742739e-07,8.222977854188684432e-12,7.810441182698468765e-11
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000021e-02,3.760404550457921169e-07,3.760404550102002160e-07,3.760404550904815223e-07,9.464917738455369545e-11,1.188420473141604816e-10
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-02,3.697701087861828710e-07,3.697701086985445012e-07,3.697701090871103308e-07,2.370077467617193179e-10,8.138230089826947733e-10
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000056e-01,3.528240715251810766e-07,3.528240710441768474e-07,3.528240719279453489e-07,1.363297696954646199e-09,1.141544192506671607e-09
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-01,3.130893798537208848e-07,3.130893788756547464e-07,3.130893830458773607e-07,3.123919900538396632e-09,1.019567141824495593e-08
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000000e+00,2.074575638231280697e-07,2.074575614158346785e-07,2.074575649942452722e-07,1.160378704234688030e-08,5.645092837625043103e-09
