model,ell,clean_masked_dl,noisy_cross_dl,unmasked_beamed_dl,noise_noise_dl,signal_noise_dl
L1_m9,3380.486,2.9284097e-13,2.917897e-13,7.448585e-13,-4.917838e-16,-5.5948575e-16
L1_m9,3580.4312,2.6669018e-13,2.671165e-13,6.7692846e-13,3.84624e-16,4.168429e-17
L1_m9,3780.3818,2.4106086e-13,2.3933007e-13,6.1351504e-13,-1.2182494e-15,-5.1254387e-16
L1_m9,3980.3374,2.166858e-13,2.1593803e-13,5.52231e-13,8.609511e-16,-1.6087253e-15
L1_m9,4180.2974,1.9357538e-13,1.9356135e-13,4.9233485e-13,8.223574e-16,-8.3638426e-16
L1_m9,4380.261,1.716524e-13,1.7211242e-13,4.3682828e-13,-5.3879183e-17,5.138926e-16
L1_m9,4580.228,1.5065754e-13,1.4753202e-13,3.8389826e-13,-3.4375945e-15,3.1208357e-16
L1_m9,4780.1973,1.3204623e-13,1.3104055e-13,3.3576706e-13,-2.5277372e-16,-7.5290514e-16
L1_m9,4980.1694,1.1456983e-13,1.1416992e-13,2.9161984e-13,-9.507136e-16,5.508056e-16
L1_m9,5180.1436,9.880354e-14,1.0009677e-13,2.5158093e-13,1.498288e-15,-2.0505842e-16
L1_m9,5380.1196,8.489896e-14,8.8788474e-14,2.1589101e-13,3.9646936e-15,-7.5179256e-17
L1_m9,5580.097,7.216563e-14,6.851005e-14,1.8393652e-13,-4.518666e-15,8.6308846e-16
L1_m9,5780.0767,6.1191354e-14,6.631189e-14,1.5543076e-13,5.9194135e-15,-7.9887574e-16
L1_m9,5980.0576,5.1525492e-14,4.8258205e-14,1.3115714e-13,-2.7153403e-15,-5.51947e-16
L1_m9,6180.0396,4.301387e-14,4.781336e-14,1.0965284e-13,5.0465202e-15,-2.4703165e-16
L1_m9,6380.0225,3.5839407e-14,4.2439966e-14,9.129547e-14,6.718932e-15,-1.183737e-16
L1_m9,6580.0063,2.964214e-14,3.1768862e-14,7.5455375e-14,1.995427e-15,1.3129307e-16
L1_m9,6779.9917,2.4377893e-14,2.4778302e-14,6.200684e-14,4.380575e-16,-3.7648073e-17
L1_m9,6979.9775,1.9927551e-14,3.5443697e-14,5.066281e-14,1.4362599e-14,1.1535471e-15
L1_m9,7179.9644,1.6165617e-14,1.8708796e-14,4.1090744e-14,2.0155132e-15,5.2766595e-16
L1_m9,7379.9517,1.3093328e-14,1.3162562e-14,3.3253128e-14,2.1113821e-16,-1.4190428e-16
L1_m9,7579.94,1.0503064e-14,1.1820162e-14,2.6720816e-14,8.607951e-16,4.56303e-16
L1_m9,7779.928,8.396722e-15,-3.0072206e-15,2.1354881e-14,-1.2249817e-14,8.4587336e-16
L1_m9,7929.605,7.0690126e-15,2.9830833e-14,1.797953e-14,2.155462e-14,1.2072015e-15
fgas-8sigma,198.01805,8.843704e-14,8.7398926e-14,2.724425e-13,-1.2410119e-15,2.028951e-16
fgas-8sigma,388.2717,1.6029387e-13,1.6004847e-13,4.2206072e-13,-1.3155491e-16,-1.138407e-16
fgas-8sigma,585.247,2.1833921e-13,2.17854e-13,5.513776e-13,-3.2807852e-16,-1.5712906e-16
fgas-8sigma,783.7734,2.6280177e-13,2.5744215e-13,6.6364573e-13,-2.239649e-15,-3.119969e-15
fgas-8sigma,982.90125,2.971498e-13,3.0721126e-13,7.505548e-13,8.8262925e-15,1.2351578e-15
fgas-8sigma,1182.3248,3.1849003e-13,3.25486e-13,8.09693e-13,6.106869e-15,8.89108e-16
fgas-8sigma,1381.9154,3.306813e-13,3.242274e-13,8.455698e-13,-4.5669763e-15,-1.8869268e-15
fgas-8sigma,1581.6096,3.3713798e-13,3.3248008e-13,8.5617234e-13,-4.6952082e-15,3.7313072e-17
fgas-8sigma,1781.3726,3.341423e-13,3.4051028e-13,8.516748e-13,4.79132e-15,1.5766604e-15
fgas-8sigma,1981.1835,3.2663626e-13,3.26639e-13,8.297772e-13,-7.2033365e-16,7.2307126e-16
fgas-8sigma,2181.029,3.1526181e-13,3.124208e-13,8.0202067e-13,1.9284422e-15,-4.7694587e-15
fgas-8sigma,2380.9006,2.9909026e-13,2.9760816e-13,7.5994316e-13,-6.1027686e-16,-8.718275e-16
