fine_nside,parent_nside,dewindow,label,relative_Dell_l2,max_fractional_Dell,distance5,distance9,common_reference_nside
8192,4096,False,Battaglia12,0.03577991259652437,0.21955019810460713,22.2419273191384,22.34833208022262,
8192,4096,True,Battaglia12,0.013461752070859213,0.12835887876803134,8.136753812473607,8.184184906264038,
8192,4096,False,FL_L1_m9,0.034896476356557425,0.2326097747453082,26.67808371869819,27.22090299505363,
8192,4096,True,FL_L1_m9,0.0123399035929221,0.10515955940619165,9.3168680303222,9.505769336741427,
8192,4096,False,compact,0.006016900993738912,0.028273118180788804,3.0966230968184224e-09,3.18123839312276e-09,
8192,4096,True,compact,0.14190198175052154,0.452815458592909,1.8822290047335109e-07,1.9728545809732316e-07,
8192,4096,False,extended_shallow,0.007857033734648524,0.23252123576000752,2000.9348792523167,2107.7392597262933,
8192,4096,True,extended_shallow,0.002689186776479378,0.10459174106346705,692.95528128107,731.6533095749181,
16384,8192,False,extended_shallow,0.0019825037624108632,0.06450085839721417,508.37849749762313,535.8606265845731,
16384,8192,True,extended_shallow,0.000670246904253363,0.022737323305836814,172.28902700695025,181.7187612145057,
16384,4096,False,extended_shallow,0.009777884334382486,0.2820560687516193,2481.908930132353,2614.7093301556456,
16384,4096,True,extended_shallow,0.0006911552766374589,0.03304804804008805,177.0467700985909,186.6888499742545,
16384,8192,False,Battaglia12,0.009293780663181234,0.06473180065923285,5.730293971383803,5.759424043028832,
16384,8192,True,Battaglia12,0.0031688132409364174,0.023099988072133246,1.9500845088770844,1.9601620204573964,
16384,4096,False,Battaglia12,0.04454879852242247,0.27428143548311185,27.684230121966895,27.816330797344055,
16384,4096,True,Battaglia12,0.0036587829053457096,0.047872721841010255,2.1568988018153994,2.1709539562313993,
8192,4096,False,extended_shallow,0.007854610254535417,0.23186766178198406,1999.1791503573613,2105.952163208354,16384
8192,4096,True,extended_shallow,0.002692132590424055,0.10804771232874662,694.7149041385134,733.7648675474857,16384
16384,4096,False,extended_shallow,0.009777884334382486,0.2820560687516193,2481.908930132353,2614.7093301556456,16384
16384,4096,True,extended_shallow,0.0006911552766374589,0.03304804804008805,177.0467700985909,186.6888499742545,16384
8192,4096,False,Battaglia12,0.03517703503959807,0.2150473674821583,21.852868155683367,21.95719934670141,16384
8192,4096,True,Battaglia12,0.01411273835677564,0.13799573042739155,8.527221694022032,8.57688379631502,16384
16384,4096,False,Battaglia12,0.04454879852242247,0.27428143548311185,27.684230121966895,27.816330797344055,16384
16384,4096,True,Battaglia12,0.0036587829053457096,0.047872721841010255,2.1568988018153994,2.1709539562313993,16384
