pair,label,relative_Dell_l2,max_fractional_Dell,distance5,distance9
4096 vs 8192,Battaglia12,0.016723482718020793,0.19188155768671422,9.51203088135997,9.587715237399316
4096 vs 8192,FL_L1_m9,0.002737966667732107,0.05644266457748985,1.6321564759769718,1.6707269771640558
4096 vs 8192,compact,2.660034073682398,3.9269211976775535,5.144249253375061e-06,5.413171020333114e-06
4096 vs 8192,extended_shallow,0.00020299960039639077,0.06633407125493682,33.11402675101805,42.86699879605708
8192 vs 16384,extended_shallow,4.192073005815053e-05,0.005245704333143232,1.871426114660861,2.3343845404883568
8192 vs 16384,Battaglia12,0.0009105945886862765,0.010593235099202021,0.39215457899353506,0.39458252226648605
8192 vs 16384,FL_L1_m9,0.00015551395122818078,0.0017199986144732775,0.02039242116067955,0.026768110092865456
