method,parameter,truth,mean,std,std_over_prior,q16,median,q84
Fisher Gaussian,P0,18.1,18.04713548490173,12.46701852769467,0.3834979470503905,5.675614943120663,18.017906328194293,30.42390264758455
Fisher Gaussian,xc,0.497,0.4974757491503877,0.3426880393323501,0.49343699853594314,0.15642429174207267,0.4981101187523165,0.8380504106224244
Fisher Gaussian,beta,4.35,4.349019249655507,1.6174716644948397,0.9317319777056454,2.7398783039324894,4.349194209533568,5.959685191358915
Fisher Gaussian,alpha_m_P0,0.154,0.15489115819403518,0.1967049711187787,0.6737879394832417,-0.04023208796578937,0.1550637357145065,0.3499568378938347
Fisher Gaussian,alpha_m_xc,-0.00865,-0.008777402086117037,0.1832051193148608,0.9182615829062301,-0.1915964958602879,-0.008925653573459463,0.17389826006057443
Fisher Gaussian,alpha_m_beta,0.0393,0.039512811997398214,0.11698581806178462,0.9773087993075928,-0.07685136804514985,0.03950967759483767,0.15645818818130952
Fisher Gaussian,alpha_z_P0,-0.758,-0.7534211329496336,0.907559091251962,0.7998807666838782,-1.6557482706594335,-0.7520170650725795,0.14695398398615345
Fisher Gaussian,alpha_z_xc,0.731,0.7284319810986211,0.7530825883004194,0.6452702074104197,-0.02148868895082416,0.7281296494125805,1.4787381331446423
Fisher Gaussian,alpha_z_beta,0.415,0.41440552577490014,0.3127693402821285,0.4724070023133216,0.10228034072775025,0.41341380363275015,0.7258109270191129
Fisher + prior,P0,18.1,18.06904363988223,0.15629029855776067,0.004807645750076304,17.885817885268374,18.079878025305607,18.241510063272596
Fisher + prior,xc,0.497,0.49416047820404835,0.0025817180177173295,0.0037174194705205895,0.4915770385661428,0.49473487539232675,0.49649503410790075
Fisher + prior,beta,4.35,4.371710105547913,0.02438094949408751,0.014044456412509898,4.34814110314056,4.367004417820666,4.399292785410473
Fisher + prior,alpha_m_P0,0.154,0.16412766058568762,0.0093824395911281,0.032138357274228924,0.15468591757616232,0.16420420638554756,0.1744997237123142
Fisher + prior,alpha_m_xc,-0.00865,-0.013203269784968465,0.006391617442651451,0.03203609578252713,-0.019714972938856073,-0.012093447814301772,-0.006802497812348195
Fisher + prior,alpha_m_beta,0.0393,0.034490219873119024,0.003769417321923221,0.031490011165562194,0.03036449870889187,0.03462473491961468,0.03850733220688119
Fisher + prior,alpha_z_P0,-0.758,-0.7296748671165422,0.02738102016427221,0.02413236957537605,-0.7623941964977864,-0.728032161321307,-0.6999178268432017
Fisher + prior,alpha_z_xc,0.731,0.7137278456856213,0.03501779421204605,0.030004596687406602,0.6744299725025447,0.7254878338810886,0.7476350600439298
Fisher + prior,alpha_z_beta,0.415,0.40004111433221246,0.01874469527571795,0.028311999176424955,0.3755094953978196,0.4083040934079654,0.4178101760791259
"NPE N=523,788",P0,18.1,18.61013800354004,10.04376275167526,0.30895617804467074,7.992586975097656,15.944372653961182,32.42060638427734
"NPE N=523,788",xc,0.497,0.4407239390403032,0.131947992702006,0.18999210363037056,0.2912279164791107,0.46705134212970734,0.5785209512710571
"NPE N=523,788",beta,4.35,4.890241774272918,0.3460030343228523,0.19931235800812014,4.439340209960937,5.060409307479858,5.193267021179199
"NPE N=523,788",alpha_m_P0,0.154,0.07100616671504685,0.1025798716151423,0.35137434470980616,0.0022335399594157934,0.011043375823646784,0.2370368957519531
"NPE N=523,788",alpha_m_xc,-0.00865,0.09809251722842455,0.0018836212024331577,0.009441095278398728,0.09672651320695877,0.09869005531072617,0.09951960474252701
"NPE N=523,788",alpha_m_beta,0.0393,0.04151870362404734,0.04034582487966419,0.33705221986304673,-0.0035319005697965616,0.03244384378194809,0.09580972492694854
"NPE N=523,788",alpha_z_P0,-0.758,-0.6172876678228378,0.45873884485584837,0.4043112811803696,-1.3086616611480713,-0.31167399883270264,-0.2437306213378906
"NPE N=523,788",alpha_z_xc,0.731,0.5013789323732257,0.18641780837380723,0.15972996819092103,0.2796059477329254,0.48121580481529236,0.7187967991828919
"NPE N=523,788",alpha_z_beta,0.415,0.21129294006824492,0.1600117211844364,0.2416818012646294,0.08645084410905839,0.09974510595202446,0.42054566740989685
