ell_eff,Dl_y_x_b16_projected,Dl_y_x_b16_sphere,Dl_y_x_lee22_projected,Dl_y_x_lee22_sphere,Dl_y_projected,Dl_y_sphere,Dl_dm_b16_projected,Dl_dm_b16_sphere,Dl_dm_lee22noc_projected,Dl_dm_lee22noc_sphere,r_lee22_projected,r_lee22_sphere,r_b16_projected,r_b16_sphere,Dl_poisson_y_x_b16_projected,Dl_poisson_y_x_b16_sphere,Dl_poisson_y_x_lee22_projected,Dl_poisson_y_x_lee22_sphere
944.544,5.00613e-05,4.93028e-05,0.000103533,0.00010337,7.12474e-13,7.11722e-13,6384.56,6044.01,27737.7,27564.2,0.736476,0.738018,0.742253,0.751716,4.86658e-05,4.80807e-05,0.000103385,0.000103269
1061.59,5.32975e-05,5.25984e-05,0.000106611,0.000106455,7.68041e-13,7.67413e-13,6690.06,6364.3,27379.2,27219,0.735187,0.736574,0.743532,0.752632,5.18236e-05,5.12651e-05,0.000105994,0.000105882
1193.18,5.60878e-05,5.54398e-05,0.00010816,0.000108021,8.17967e-13,8.17436e-13,6996.95,6683.76,26696.3,26555,0.731938,0.733179,0.741389,0.75004,5.4912e-05,5.43944e-05,0.000108025,0.00010792
1341.26,5.9188e-05,5.86052e-05,0.000110178,0.000110055,8.73247e-13,8.72814e-13,7273.18,6980.9,25888.3,25770.2,0.732782,0.733822,0.742682,0.750792,5.7878e-05,5.74039e-05,0.000109354,0.000109256
1507.36,6.1991e-05,6.14738e-05,0.000110883,0.000110768,9.29068e-13,9.28711e-13,7500.65,7232.76,24749.8,24653.6,0.731236,0.732041,0.742601,0.750063,6.06679e-05,6.02373e-05,0.000109902,0.000109812
1694.46,6.45662e-05,6.411e-05,0.000110781,0.000110674,9.80268e-13,9.79987e-13,7717.82,7475.19,23445,23371.3,0.730746,0.731296,0.742311,0.749039,6.32037e-05,6.28255e-05,0.00010956,0.000109477
1904.58,6.72301e-05,6.68414e-05,0.00011015,0.000110063,1.03349e-12,1.03326e-12,7913.89,7701.1,21988.7,21935.8,0.730687,0.731068,0.74339,0.749315,6.54247e-05,6.51011e-05,0.000108295,0.000108219
2140.72,6.94648e-05,6.91459e-05,0.000108524,0.000108445,1.07904e-12,1.07888e-12,8063.68,7881.84,20366.7,20330.2,0.732059,0.732235,0.744698,0.749835,6.72599e-05,6.69917e-05,0.000106046,0.000105978
2406.37,7.12523e-05,7.10095e-05,0.000105852,0.000105791,1.12032e-12,1.12023e-12,8146.68,7997.62,18610.5,18591.5,0.733072,0.733059,0.745826,0.750209,6.86444e-05,6.8438e-05,0.000102827,0.000102771
2704.53,7.29975e-05,7.28221e-05,0.000102725,0.000102674,1.15859e-12,1.15855e-12,8220.25,8105.19,16860.3,16852.6,0.734987,0.7348,0.747998,0.751492,6.95333e-05,6.93811e-05,9.86808e-05,9.86336e-05
3039.73,7.43117e-05,7.41995e-05,9.87052e-05,9.86704e-05,1.19221e-12,1.1922e-12,8225.65,8143.58,15041.4,15044.2,0.737088,0.736761,0.750403,0.75304,6.98748e-05,6.97753e-05,9.36697e-05,9.36327e-05
3416.94,7.53833e-05,7.53221e-05,9.4016e-05,9.39891e-05,1.21989e-12,1.21991e-12,8209.93,8157.6,13244.9,13252.9,0.739633,0.739193,0.753259,0.755051,6.96375e-05,6.959e-05,8.79007e-05,8.78769e-05
3840.68,7.61575e-05,7.61548e-05,8.87805e-05,8.87693e-05,1.2423e-12,1.24236e-12,8153.95,8130.4,11521,11532.2,0.742094,0.741623,0.756687,0.757736,6.87861e-05,6.87885e-05,8.14984e-05,8.14865e-05
4316.95,7.67386e-05,7.67806e-05,8.3267e-05,8.32675e-05,1.26083e-12,1.26091e-12,8082.87,8083.09,9915.35,9926.51,0.744717,0.744279,0.760157,0.76054,6.73453e-05,6.73859e-05,7.46408e-05,7.46406e-05
4852.25,7.74595e-05,7.75393e-05,7.77962e-05,7.7811e-05,1.28164e-12,1.28173e-12,8010.9,8030.62,8449.98,8460.21,0.747564,0.747226,0.764455,0.764274,6.53035e-05,6.53759e-05,6.74647e-05,6.74761e-05
5453.59,7.81301e-05,7.82374e-05,7.21767e-05,7.22013e-05,1.29992e-12,1.30002e-12,7940.72,7974.01,7129.11,7136.28,0.749758,0.749607,0.769007,0.768424,6.27125e-05,6.28085e-05,6.01812e-05,6.02015e-05
6129.99,7.93504e-05,7.94793e-05,6.69815e-05,6.70142e-05,1.32741e-12,1.32752e-12,7914.59,7955.42,5979.28,5982.86,0.751844,0.751955,0.774164,0.773397,5.96012e-05,5.97099e-05,5.29255e-05,5.29528e-05
6889.9,8.14951e-05,8.16311e-05,6.23999e-05,6.24386e-05,1.36878e-12,1.36888e-12,7980.64,8022.34,5008.39,5008.41,0.753649,0.754084,0.779734,0.778972,5.60567e-05,5.61661e-05,4.58928e-05,4.59229e-05
7743.9,8.51541e-05,8.52854e-05,5.86667e-05,5.87059e-05,1.43674e-12,1.43685e-12,8186.51,8222.3,4206.74,4203.13,0.754622,0.755423,0.785175,0.784644,5.2144e-05,5.22429e-05,3.92092e-05,3.92387e-05
