ell_eff,1e12_Dl_yy_projected,1e12_Dl_yy_sphere,1e12_Dl_yy_classsz_1h,1e12_Dl_yy_classsz_tot,Dl_ksz_projected_uK2,Dl_ksz_sphere_uK2,Dl_ksz_classsz_1h_uK2,Dl_ksz_classsz_tot_uK2,yy_sphere_over_projected,ksz_sphere_over_projected,yy_projected_over_classsz,yy_sphere_over_classsz,ksz_projected_over_classsz,ksz_sphere_over_classsz,1e12_Dl_yy_poisson_projected,1e12_Dl_yy_poisson_sphere,Dl_ksz_poisson_projected_uK2,Dl_ksz_poisson_sphere_uK2
591.335,0.523033,0.521998,0.552098,0.570282,0.263529,0.239661,0.244265,0.299594,0.998022,0.909431,0.917147,0.915333,0.87962,0.799954,0.514615,0.513828,0.243145,0.22407
664.881,0.559471,0.558547,0.604261,0.621883,0.292649,0.267309,0.272028,0.325715,0.998349,0.913411,0.89964,0.898155,0.898482,0.820684,0.558317,0.557575,0.27088,0.250294
747.422,0.608712,0.607823,0.659531,0.676417,0.32275,0.296095,0.301776,0.353417,0.99854,0.917414,0.899907,0.898593,0.913227,0.837807,0.604777,0.604067,0.300435,0.278429
839.976,0.655472,0.654693,0.717039,0.733168,0.351909,0.324056,0.333373,0.382687,0.998811,0.920853,0.894027,0.892964,0.919574,0.846793,0.65359,0.652941,0.33168,0.308326
944.544,0.712474,0.711722,0.776573,0.79183,0.383465,0.354629,0.366813,0.413369,0.998946,0.9248,0.899781,0.898832,0.927658,0.857898,0.704692,0.704109,0.364566,0.340017
1061.59,0.768041,0.767413,0.836914,0.851273,0.417285,0.387826,0.401453,0.445148,0.999182,0.929404,0.902226,0.901488,0.937408,0.871231,0.756975,0.756468,0.398402,0.372899
1193.18,0.817967,0.817436,0.897382,0.910777,0.451939,0.422237,0.437084,0.477634,0.999351,0.934277,0.898098,0.897515,0.946204,0.884017,0.809888,0.809477,0.432922,0.406763
1341.26,0.873247,0.872814,0.956946,0.969345,0.484131,0.454573,0.473152,0.510415,0.999504,0.938947,0.900863,0.900416,0.948504,0.890595,0.862426,0.862095,0.46745,0.441062
1507.36,0.929068,0.928711,1.01451,1.02589,0.515439,0.486532,0.508277,0.542171,0.999616,0.943917,0.905618,0.90527,0.950695,0.897377,0.913518,0.913229,0.501402,0.475193
1694.46,0.980268,0.979987,1.06877,1.07913,0.550499,0.52249,0.543932,0.574404,0.999714,0.949122,0.908384,0.908124,0.958382,0.909622,0.96188,0.961667,0.534125,0.508546
1904.58,1.03349,1.03326,1.11816,1.12752,0.581499,0.554897,0.577222,0.604289,0.999782,0.954253,0.916603,0.916403,0.962287,0.918265,1.00625,1.0061,0.564839,0.540386
2140.72,1.07904,1.07888,1.16137,1.16973,0.611838,0.587297,0.608026,0.631763,0.999854,0.95989,0.922463,0.922329,0.96846,0.929615,1.04519,1.04507,0.59251,0.569788
2406.37,1.12032,1.12023,1.197,1.20441,0.639998,0.617974,0.635066,0.655599,0.999921,0.965586,0.930187,0.930113,0.976204,0.942609,1.07747,1.07741,0.616416,0.595973
2704.53,1.15859,1.15855,1.22373,1.23022,0.665863,0.646752,0.657853,0.675363,0.999963,0.971298,0.941779,0.941744,0.985935,0.957636,1.10181,1.10179,0.635637,0.617974
3039.73,1.19221,1.1922,1.24026,1.24589,0.688492,0.672941,0.675206,0.689913,0.999991,0.977413,0.956919,0.956911,0.99794,0.975399,1.11716,1.11717,0.649427,0.634973
3416.94,1.21989,1.21991,1.24585,1.25067,0.710745,0.698734,0.686582,0.698733,1.00002,0.983101,0.975393,0.97541,1.01719,1,1.12278,1.12281,0.657184,0.646276
3840.68,1.2423,1.24236,1.2397,1.24378,0.727278,0.719236,0.691098,0.70097,1.00005,0.988943,0.998807,0.998855,1.03753,1.02606,1.11779,1.11786,0.658295,0.651072
4316.95,1.26083,1.26091,1.2215,1.22492,0.744009,0.739762,0.688234,0.696113,1.00006,0.994291,1.02931,1.02938,1.06881,1.0627,1.10225,1.10232,0.652739,0.649114
4852.25,1.28164,1.28173,1.19128,1.1941,0.75941,0.758775,0.677962,0.684139,1.00007,0.999165,1.0733,1.07338,1.11002,1.1091,1.07581,1.0759,0.640286,0.639964
5453.59,1.29992,1.30002,1.14958,1.15188,0.776143,0.778725,0.660149,0.664905,1.00008,1.00333,1.12852,1.12861,1.1673,1.17118,1.03924,1.03933,0.62146,0.623905
6129.99,1.32741,1.32752,1.09737,1.09921,0.799588,0.804648,0.635374,0.63897,1.00008,1.00633,1.2076,1.2077,1.25137,1.25929,0.992844,0.992938,0.596628,0.601049
6889.9,1.36878,1.36888,1.03589,1.03735,0.831556,0.838141,0.603931,0.606602,1.00008,1.00792,1.31949,1.31959,1.37084,1.3817,0.93803,0.938118,0.56688,0.57229
7743.9,1.43674,1.43685,0.966744,0.967883,0.882369,0.889332,0.56716,0.569113,1.00007,1.00789,1.48442,1.48453,1.55043,1.56266,0.875892,0.875969,0.532967,0.538385
