profile_offset	noise_seed	status	output_root
44	20045	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20045
45	20046	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20046
46	20047	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20047
47	20048	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20048
48	20049	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20049
49	20050	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20050
50	20051	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20051
51	20052	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20052
52	20053	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20053
53	20054	complete	/lustre/work/kristero10/adrian_fisher_baseline_deproj0/battaglia12_baseline_deproj0_ensemble/noise_seed20054
