parameter,fiducial,prior_low,prior_high,prior_width,conditional_sigma,conditional_sigma_over_prior_width,data_marginalized_sigma,data_marginalized_sigma_over_prior_width,prior_regularized_sigma,prior_regularized_sigma_over_prior_width,estimable_fraction
P0,18.1,1.832523941993713,34.34122085571289,32.50869691371918,0.01620281596813172,0.0004984148091550811,,,4.290097587215148,0.1319676884804527,0.9081960762736111
xc,0.497,0.1500110030174255,0.8445029854774475,0.694491982460022,0.0002175199568919611,0.0003132072973995528,,,0.09676704480677062,0.1393350063797762,0.8951674153475944
beta,4.35,3.480627059936523,5.216610908508301,1.735983848571777,0.001752975719056584,0.00100978803489375,,,0.4431606284532899,0.2552792347796816,0.6435199619269516
alpha_m_P0,0.154,0.000311999989207834,0.2922509908676147,0.2919389908784069,0.0007875611398255362,0.002697690834156362,,,0.06609426599033173,0.2263975284406601,0.5840737103254021
alpha_m_xc,-0.00865,-0.09971799701452255,0.09979499876499176,0.1995129957795143,0.0004099000890174531,0.002054503203743388,,,0.0448091789565003,0.2245927829484341,0.7317571745673729
alpha_m_beta,0.0393,-0.0199350006878376,0.09976699948310852,0.1197020001709461,0.000386140056790965,0.003225844649542359,,,0.03063824442530953,0.2559543230819462,0.3627985730882744
alpha_z_P0,-0.758,-1.363456964492798,-0.2288389950990677,1.13461796939373,0.001876711133850922,0.00165404672275173,,,0.2685751927961866,0.2367098001626896,0.5121394759453851
alpha_z_xc,0.731,0.1473930031061172,1.314473986625671,1.167080983519554,0.0008652490620430867,0.0007413787682785851,,,0.2183738958138648,0.187111176428663,0.6245040046772566
alpha_z_beta,0.415,0.08380799740552902,0.7458840012550354,0.6620760038495064,0.0007866520071290606,0.001188159671329624,,,0.1367012359678793,0.2064736301769853,0.737843607848149
