mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,3.881154658851454834e-07,3.881154658703018134e-07,3.884365131667247835e-07,3.824551786379970508e-11,8.271952802683113504e-04
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,3.835520147574824702e-07,3.835520146784231149e-07,3.842138900632412267e-07,2.061242287965114883e-10,1.725646797025026657e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,3.736862489092206784e-07,3.736862487035780724e-07,3.748711596197469454e-07,5.503082434188399930e-10,3.170870520349700072e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,3.461839864071544444e-07,3.461839854842651439e-07,3.478807612676304060e-07,2.665892506747979951e-09,4.901367270293999212e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,2.821933467123754367e-07,2.821933452008832058e-07,2.835124375802055796e-07,5.356229126896039361e-09,4.674422282445300780e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,1.401051714671338871e-07,1.401051702560390853e-07,1.424534992343623123e-07,8.644183480122080709e-09,1.676117835364343556e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,5.479979566429724735e-08,5.479979572595458215e-08,5.929939353082905966e-08,1.125137982782575818e-09,8.210975628625116762e-02
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,1.065084856679750318e-08,1.065084873097770578e-08,1.415400630291840164e-08,1.541475325161911769e-08,3.289087920225897133e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,3.313106119181074948e-07,3.313106119148894048e-07,3.313105847573907301e-07,9.713230220143032057e-12,8.197961609557324891e-08
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,3.275757099347079225e-07,3.275757099006141052e-07,3.275756600825894764e-07,1.040791897111148501e-10,1.521850275798541929e-07
