parameter,proposal_lower,proposal_upper,guarded_envelope_lower,guarded_envelope_upper,old_lower,old_upper,Battaglia12,L1_m9,fgas-8sigma,Mstar-1sigma
P0,1.0,60.0,1.0,60.0,1.8325239419937134,34.34122085571289,18.1,27.895767029523494,18.23594732761984,33.76527739241058
beta,2.8,16.0,3.354114539215185,10.874999999999996,3.4806270599365234,5.216610908508301,4.35,8.096506971978265,7.375469738110147,8.376227180858422
