radius,beta,los,python,julia,relative_difference,production_asserted
0.001,6.268946704018129,100000.0,4.9158679845418805,4.9158679845418805,0.0,false
0.1,6.268946704018129,100000.0,3.243034742159822,3.243034742159822,0.0,false
1.0,6.268946704018129,100000.0,0.18198533991925928,0.1819853399192592,4.440892098500626e-16,false
3.999,6.268946704018129,100000.0,0.0014740639469575734,0.0014740639469575708,1.7763568394002505e-15,false
0.001,6.268946704018129,3.999999874999998,4.915340546369127,4.915340546369127,0.0,false
0.1,6.268946704018129,3.998749804626441,3.242507189679406,3.242507189679406,0.0,false
1.0,6.268946704018129,3.872983346207417,0.18144604710429266,0.1814460471042926,3.3306690738754696e-16,false
3.999,6.268946704018129,0.08943712875534336,5.1874883236613735e-5,5.1874883236613735e-5,0.0,false
0.001,6.268946704018129,7.9999999375,4.915847294359377,4.915847294359377,0.0,false
0.1,6.268946704018129,7.99937497558403,3.243014050823829,3.243014050823829,0.0,false
1.0,6.268946704018129,7.937253933193772,0.181964533326034,0.18196453332603404,2.220446049250313e-16,false
3.999,6.268946704018129,6.928780484327671,0.0014512045642678696,0.0014512045642678683,8.881784197001252e-16,false
0.001,6.268946704018129,15.99999996875,4.915867372053561,4.915867372053562,2.220446049250313e-16,false
0.1,6.268946704018129,15.999687496948184,3.2430341296628358,3.2430341296628367,2.220446049250313e-16,false
1.0,6.268946704018129,15.968719422671311,0.18198472656232703,0.18198472656232703,0.0,false
3.999,6.268946704018129,15.49219154929347,0.001473437068138706,0.0014734370681387034,1.7763568394002505e-15,false
0.001,1.616580753730952,100000.0,19.07170424220841,19.07170424220841,0.0,false
0.1,1.616580753730952,100000.0,17.61974695689906,17.61974695689906,0.0,false
1.0,1.616580753730952,100000.0,11.135369804515594,11.135369804515594,0.0,false
3.999,1.616580753730952,100000.0,5.126903326927557,5.1269033269275575,2.220446049250313e-16,false
0.001,1.616580753730952,3.999999874999998,15.541063845995339,15.541063845995337,1.1102230246251565e-16,false
0.1,1.616580753730952,3.998749804626441,14.088796001813083,14.088796001813085,2.220446049250313e-16,false
1.0,1.616580753730952,3.872983346207417,7.572813047183247,7.572813047183247,0.0,false
3.999,1.616580753730952,0.08943712875534336,0.05873923331929644,0.05873923331929644,0.0,false
0.001,1.616580753730952,7.9999999375,17.022754000292043,17.022754000292046,2.220446049250313e-16,false
0.1,1.616580753730952,7.99937497558403,15.570749230809913,15.570749230809906,4.440892098500626e-16,false
1.0,1.616580753730952,7.937253933193772,9.081638290999207,9.081638290999205,2.220446049250313e-16,false
3.999,1.616580753730952,6.928780484327671,2.9922583300403507,2.99225833004035,3.3306690738754696e-16,false
0.001,1.616580753730952,15.99999996875,17.93108294644702,17.93108294644702,0.0,false
0.1,1.616580753730952,15.999687496948184,16.479118862917094,16.4791188629171,4.440892098500626e-16,false
1.0,1.616580753730952,15.968719422671311,9.994067458015003,9.994067458015003,0.0,false
3.999,1.616580753730952,15.49219154929347,3.9750985874280973,3.975098587428098,2.220446049250313e-16,false
0.001,0.6435723898390692,100000.0,207.94402805258906,207.94402805258906,0.0,true
0.1,0.6435723898390692,100000.0,206.6031793047817,206.6031793047817,0.0,true
1.0,0.6435723898390692,100000.0,200.09896848670525,200.09896848670527,2.220446049250313e-16,true
3.999,0.6435723898390692,100000.0,189.24648702945274,189.24648702945274,0.0,true
0.001,0.6435723898390692,3.999999874999998,26.961546531112187,26.9615465311122,4.440892098500626e-16,false
0.1,0.6435723898390692,3.998749804626441,25.618761507008845,25.618761507008855,4.440892098500626e-16,false
1.0,0.6435723898390692,3.872983346207417,18.91835112138376,18.918351121383772,6.661338147750939e-16,false
3.999,0.6435723898390692,0.08943712875534336,0.25564896561558703,0.25564896561558703,0.0,false
0.001,0.6435723898390692,7.9999999375,35.38652312706291,35.38652312706291,0.0,false
0.1,0.6435723898390692,7.99937497558403,34.04514448519203,34.04514448519203,0.0,false
1.0,0.6435723898390692,7.937253933193772,27.488166786731114,27.488166786731103,3.3306690738754696e-16,false
3.999,0.6435723898390692,6.928780484327671,15.75141317808759,15.751413178087596,4.440892098500626e-16,false
0.001,0.6435723898390692,15.99999996875,44.65649214651861,44.65649214651863,4.440892098500626e-16,false
0.1,0.6435723898390692,15.999687496948184,43.3155017747542,43.3155017747542,0.0,false
1.0,0.6435723898390692,15.968719422671311,36.797248614324,36.797248614324,0.0,false
3.999,0.6435723898390692,15.49219154929347,25.72706121183525,25.72706121183526,4.440892098500626e-16,false
