case,covariance_scope,parameter,fiducial,prior_low,prior_high,prior_width,conditional_sigma,conditional_sigma_over_prior_width,data_marginalized_sigma,data_marginalized_sigma_over_prior_width,prior_regularized_sigma,prior_regularized_sigma_over_prior_width,estimable_fraction
baseline,conditional_noise,P0,18.1,1.832523941993713,34.34122085571289,32.50869691371918,0.01865457302962482,0.0005738333061806702,,,4.223067546565712,0.1299057774531563,0.9089433131721942
baseline,conditional_noise,xc,0.497,0.1500110030174255,0.8445029854774475,0.694491982460022,0.0002468146593097163,0.0003553887813585005,,,0.09632091094537973,0.1386926175939323,0.8931966683108669
baseline,conditional_noise,beta,4.35,3.480627059936523,5.216610908508301,1.735983848571777,0.001966139068684864,0.001132579125262276,,,0.4421402228850556,0.2546914380849866,0.6353402837032726
baseline,conditional_noise,alpha_m_P0,0.154,0.000311999989207834,0.2922509908676147,0.2919389908784069,0.0008636574949860125,0.00295834925094239,,,0.066773094990871,0.2287227711172096,0.5764585547005596
baseline,conditional_noise,alpha_m_xc,-0.00865,-0.09971799701452255,0.09979499876499176,0.1995129957795143,0.0004372804558339711,0.002191739210398195,,,0.04515612327859245,0.2263317389534633,0.7246739440729892
baseline,conditional_noise,alpha_m_beta,0.0393,-0.0199350006878376,0.09976699948310852,0.1197020001709461,0.0004040156698090277,0.003375178937963057,,,0.030950016528914,0.2585588919543062,0.3688520602913817
baseline,conditional_noise,alpha_z_P0,-0.758,-1.363456964492798,-0.2288389950990677,1.13461796939373,0.002236209852276176,0.001970892329046286,,,0.2735150920478958,0.2410635997542374,0.5131760826366908
baseline,conditional_noise,alpha_z_xc,0.731,0.1473930031061172,1.314473986625671,1.167080983519554,0.001020273092690122,0.0008742093368819143,,,0.2188191903369248,0.1874927219506516,0.6317084550560751
baseline,conditional_noise,alpha_z_beta,0.415,0.08380799740552902,0.7458840012550354,0.6620760038495064,0.0009210092728850246,0.001391092967468996,,,0.136608015440244,0.2063328298351917,0.7476506380559742
baseline,gaussian_total,P0,18.1,1.832523941993713,34.34122085571289,32.50869691371918,0.01931175643980896,0.0005940489245405312,,,4.354499725806879,0.1339487626146347,0.9091743576758065
baseline,gaussian_total,xc,0.497,0.1500110030174255,0.8445029854774475,0.694491982460022,0.0002561674859609194,0.000368855929846052,,,0.09801584268063823,0.1411331522265348,0.893048667003952
baseline,gaussian_total,beta,4.35,3.480627059936523,5.216610908508301,1.735983848571777,0.002045779420497704,0.00117845533078018,,,0.4447099721664928,0.2561717221806891,0.6336818271336842
baseline,gaussian_total,alpha_m_P0,0.154,0.000311999989207834,0.2922509908676147,0.2919389908784069,0.0009023811317320381,0.003090992159070254,,,0.06750194877606104,0.2312193673512276,0.5763689869155799
baseline,gaussian_total,alpha_m_xc,-0.00865,-0.09971799701452255,0.09979499876499176,0.1995129957795143,0.0004598323530697823,0.002304773938525548,,,0.0455276032920101,0.228193672868927,0.72533939205114
baseline,gaussian_total,alpha_m_beta,0.0393,-0.0199350006878376,0.09976699948310852,0.1197020001709461,0.0004271701423007261,0.003568613236960832,,,0.03103151077304534,0.2592397013310498,0.3685338517383626
baseline,gaussian_total,alpha_z_P0,-0.758,-1.363456964492798,-0.2288389950990677,1.13461796939373,0.002301218681122571,0.002028188115469563,,,0.273897277263925,0.2414004401942257,0.5141774497329478
baseline,gaussian_total,alpha_z_xc,0.731,0.1473930031061172,1.314473986625671,1.167080983519554,0.001051012042523588,0.0009005476546743668,,,0.2189655469480757,0.1876181259399356,0.6316039078120275
baseline,gaussian_total,alpha_z_beta,0.415,0.08380799740552902,0.7458840012550354,0.6620760038495064,0.000949546932543801,0.001434196266022108,,,0.1376583718563871,0.2079192888067238,0.7480715599365014
goal,conditional_noise,P0,18.1,1.832523941993713,34.34122085571289,32.50869691371918,0.01551592538025988,0.0004772853683259116,,,4.14991616957958,0.1276555680036578,0.9079790006280187
goal,conditional_noise,xc,0.497,0.1500110030174255,0.8445029854774475,0.694491982460022,0.0002078688994402648,0.000299310725955329,,,0.09487508202437681,0.1366107664602712,0.8952359305848886
goal,conditional_noise,beta,4.35,3.480627059936523,5.216610908508301,1.735983848571777,0.001671891229424708,0.0009630799450122769,,,0.4402999153161195,0.2536313432169093,0.6449276313902348
goal,conditional_noise,alpha_m_P0,0.154,0.000311999989207834,0.2922509908676147,0.2919389908784069,0.0007484268063528415,0.002563641136461154,,,0.06531352881995775,0.2237232122486885,0.5841605265406268
goal,conditional_noise,alpha_m_xc,-0.00865,-0.09971799701452255,0.09979499876499176,0.1995129957795143,0.0003874063799939418,0.001941760126854454,,,0.04437511211807257,0.2224171510467036,0.730947824101291
goal,conditional_noise,alpha_m_beta,0.0393,-0.0199350006878376,0.09976699948310852,0.1197020001709461,0.0003631755226190686,0.003033997110327467,,,0.0305303044547382,0.2550525840097738,0.3628863275326604
goal,conditional_noise,alpha_z_P0,-0.758,-1.363456964492798,-0.2288389950990677,1.13461796939373,0.001805404675621089,0.001591200495957054,,,0.268024044602093,0.236224043538909,0.5112049861155942
goal,conditional_noise,alpha_z_xc,0.731,0.1473930031061172,1.314473986625671,1.167080983519554,0.0008315315198553217,0.0007124882776751967,,,0.2181940618200089,0.1869570877266831,0.6248190407442465
goal,conditional_noise,alpha_z_beta,0.415,0.08380799740552902,0.7458840012550354,0.6620760038495064,0.0007554779292797499,0.001141074325133636,,,0.135494896047447,0.2046515736254441,0.7378387323624364
goal,gaussian_total,P0,18.1,1.832523941993713,34.34122085571289,32.50869691371918,0.01620281596813172,0.0004984148091550811,,,4.290097587215148,0.1319676884804527,0.9081960762736111
goal,gaussian_total,xc,0.497,0.1500110030174255,0.8445029854774475,0.694491982460022,0.0002175199568919611,0.0003132072973995528,,,0.09676704480677062,0.1393350063797762,0.8951674153475944
goal,gaussian_total,beta,4.35,3.480627059936523,5.216610908508301,1.735983848571777,0.001752975719056584,0.00100978803489375,,,0.4431606284532899,0.2552792347796816,0.6435199619269516
goal,gaussian_total,alpha_m_P0,0.154,0.000311999989207834,0.2922509908676147,0.2919389908784069,0.0007875611398255362,0.002697690834156362,,,0.06609426599033173,0.2263975284406601,0.5840737103254021
goal,gaussian_total,alpha_m_xc,-0.00865,-0.09971799701452255,0.09979499876499176,0.1995129957795143,0.0004099000890174531,0.002054503203743388,,,0.0448091789565003,0.2245927829484341,0.7317571745673729
goal,gaussian_total,alpha_m_beta,0.0393,-0.0199350006878376,0.09976699948310852,0.1197020001709461,0.000386140056790965,0.003225844649542359,,,0.03063824442530953,0.2559543230819462,0.3627985730882744
goal,gaussian_total,alpha_z_P0,-0.758,-1.363456964492798,-0.2288389950990677,1.13461796939373,0.001876711133850922,0.00165404672275173,,,0.2685751927961866,0.2367098001626896,0.5121394759453851
goal,gaussian_total,alpha_z_xc,0.731,0.1473930031061172,1.314473986625671,1.167080983519554,0.0008652490620430867,0.0007413787682785851,,,0.2183738958138648,0.187111176428663,0.6245040046772566
goal,gaussian_total,alpha_z_beta,0.415,0.08380799740552902,0.7458840012550354,0.6620760038495064,0.0007866520071290606,0.001188159671329624,,,0.1367012359678793,0.2064736301769853,0.737843607848149
