parameter,fiducial,prior_low,prior_high,prior_width,conditional_sigma,conditional_sigma_over_prior_width,data_marginalized_sigma,data_marginalized_sigma_over_prior_width,prior_regularized_sigma,prior_regularized_sigma_over_prior_width,estimable_fraction
P0,18.1,1.832523941993713,34.34122085571289,32.50869691371918,0.01551592538025988,0.0004772853683259116,,,4.14991616957958,0.1276555680036578,0.9079790006280187
xc,0.497,0.1500110030174255,0.8445029854774475,0.694491982460022,0.0002078688994402648,0.000299310725955329,,,0.09487508202437681,0.1366107664602712,0.8952359305848886
beta,4.35,3.480627059936523,5.216610908508301,1.735983848571777,0.001671891229424708,0.0009630799450122769,,,0.4402999153161195,0.2536313432169093,0.6449276313902348
alpha_m_P0,0.154,0.000311999989207834,0.2922509908676147,0.2919389908784069,0.0007484268063528415,0.002563641136461154,,,0.06531352881995775,0.2237232122486885,0.5841605265406268
alpha_m_xc,-0.00865,-0.09971799701452255,0.09979499876499176,0.1995129957795143,0.0003874063799939418,0.001941760126854454,,,0.04437511211807257,0.2224171510467036,0.730947824101291
alpha_m_beta,0.0393,-0.0199350006878376,0.09976699948310852,0.1197020001709461,0.0003631755226190686,0.003033997110327467,,,0.0305303044547382,0.2550525840097738,0.3628863275326604
alpha_z_P0,-0.758,-1.363456964492798,-0.2288389950990677,1.13461796939373,0.001805404675621089,0.001591200495957054,,,0.268024044602093,0.236224043538909,0.5112049861155942
alpha_z_xc,0.731,0.1473930031061172,1.314473986625671,1.167080983519554,0.0008315315198553217,0.0007124882776751967,,,0.2181940618200089,0.1869570877266831,0.6248190407442465
alpha_z_beta,0.415,0.08380799740552902,0.7458840012550354,0.6620760038495064,0.0007554779292797499,0.001141074325133636,,,0.135494896047447,0.2046515736254441,0.7378387323624364
