mode,eigenvalue,relative_eigenvalue,identified,sigma_in_prior_width_coordinates,largest_components
1,20090300.4373322,1,True,0.0002231037059227071,xc:+0.7448; P0:+0.4672; alpha_z_xc:+0.3076
2,197308.5960332409,0.009821087377399203,True,0.002251266955969851,alpha_z_xc:+0.5888; alpha_m_xc:-0.3945; alpha_z_P0:+0.3356
3,1511.214974777914,7.522112372046682e-05,True,0.02572390374205544,P0:+0.5916; alpha_z_beta:+0.5300; alpha_z_xc:-0.3603
4,34.67980099808203,1.726196236151816e-06,True,0.1698093899064464,alpha_m_P0:-0.5648; P0:-0.5351; xc:+0.3479
5,9.298018680779705,4.628113307604868e-07,True,0.3279478535907293,alpha_m_beta:-0.5048; alpha_z_P0:+0.4428; alpha_m_xc:+0.3892
6,0.8183499081277306,4.073358239118497e-08,True,1.10542805124136,beta:+0.6309; alpha_m_xc:+0.4722; alpha_z_beta:+0.3975
7,0.07321086712966784,3.644090209503584e-09,False,3.695832026935811,alpha_z_xc:-0.4838; alpha_m_beta:+0.4598; alpha_z_beta:-0.4578
8,0.00615676673055767,3.064546869153357e-10,False,12.74452490700294,alpha_z_P0:+0.6345; alpha_m_beta:+0.4752; alpha_m_P0:+0.4184
9,0.0006314949800251486,3.143282909058403e-11,False,39.79376663232065,alpha_m_xc:-0.4984; beta:+0.4682; alpha_m_beta:-0.4471
