variant,parameter,previous,cosmology_corrected,difference
L1_m9,P0,19.863946898236897,27.895767029523494,8.031820131286597
L1_m9,xc,1.378849450857866,1.3742797203838153,-0.004569730474050626
L1_m9,beta,7.273537628593472,8.096506971978265,0.8229693433847931
L1_m9,alpha_m_P0,0.004031541178634246,0.24068706895722208,0.23665552777858784
L1_m9,alpha_m_xc,-0.3708453659453409,-0.3708722120914735,-2.68461461325753e-05
L1_m9,alpha_m_beta,-0.01000634064400005,-0.027131779826878644,-0.017125439182878593
L1_m9,alpha_z_P0,-3.2031983230820584,-3.2950451155410274,-0.09184679245896898
L1_m9,alpha_z_xc,1.2715097462230687,1.3212811497156247,0.04977140349255604
L1_m9,alpha_z_beta,0.7122775044426832,0.7123048539608454,2.7349518162189668e-05
fgas-8sigma,P0,15.709015230535915,18.23594732761984,2.5269320970839253
fgas-8sigma,xc,1.3772759831840422,1.4671672867423466,0.08989130355830444
fgas-8sigma,beta,7.00167495745385,7.375469738110147,0.3737947806562971
fgas-8sigma,alpha_m_P0,0.22873657409029463,0.27382836676318884,0.045091792672894204
fgas-8sigma,alpha_m_xc,-0.2123883050140173,-0.29275997165682033,-0.08037166664280304
fgas-8sigma,alpha_m_beta,0.09095722144703261,0.06147581487544934,-0.02948140657158327
fgas-8sigma,alpha_z_P0,-3.244485230507415,-3.481706690343786,-0.2372214598363711
fgas-8sigma,alpha_z_xc,1.4632356982720358,1.5604732323948403,0.09723753412280445
fgas-8sigma,alpha_z_beta,0.7738716778594799,0.9338324085124106,0.1599607306529307
Mstar-1sigma,P0,34.19982141725153,33.76527739241058,-0.434544024840946
Mstar-1sigma,xc,1.3705116615597033,1.3726902054783838,0.0021785439186805533
Mstar-1sigma,beta,8.661816391074165,8.376227180858422,-0.28558921021574335
Mstar-1sigma,alpha_m_P0,0.21115973720715092,0.13203213879456643,-0.07912759841258449
Mstar-1sigma,alpha_m_xc,-0.34544184574451775,-0.3834874836107727,-0.03804563786625492
Mstar-1sigma,alpha_m_beta,-0.007785537632154893,-0.04321071424547937,-0.03542517661332448
Mstar-1sigma,alpha_z_P0,-3.8312286030814304,-3.870613895010689,-0.03938529192925877
Mstar-1sigma,alpha_z_xc,1.5794345830598515,1.6021986139875475,0.022764030927695966
Mstar-1sigma,alpha_z_beta,0.8338737927415714,0.8860745932601031,0.05220080051853171
