beta0,P0_min_from_pressure,P0_max_from_pressure,relative_size,passes_size_mathematically
8.0,1.0,60.0,0.54375,True
10.5,1.0,60.0,0.41428571428571426,True
10.875,1.1163055756591627,60.0,0.39999999999999997,False
12.0,1.5223134023273357,60.0,0.3625,False
14.0,2.451290967797396,60.0,0.31071428571428567,False
16.0,3.6741096011497656,60.0,0.271875,False
