parameter,prior_low,prior_high,inside_prior_fraction,raw_q01,raw_median,raw_q99
P0,1.8325239419937134,34.34122085571289,0.0064,34.97608055114746,54.7007999420166,84.84869552612305
xc,0.15001100301742554,0.8445029854774475,0.0,1.2292564964294435,1.3957444429397583,1.5961315727233887
beta,3.4806270599365234,5.216610908508301,0.0,7.289735593795776,7.6780736446380615,8.085960693359375
alpha_m_P0,0.000311999989207834,0.29225099086761475,0.1564,-0.08360840126872063,-0.024863338097929955,0.03404321622103456
alpha_m_xc,-0.09971799701452255,0.09979499876499176,0.2264,-0.14597822919487954,-0.11142989993095398,-0.07510633789002895
alpha_m_beta,-0.0199350006878376,0.09976699948310852,0.0,0.3508005341887474,0.38467399775981903,0.416818283200264
alpha_z_P0,-1.3634569644927979,-0.2288389950990677,0.0,-2.4456641101837158,-2.263152599334717,-1.9701760935783386
alpha_z_xc,0.14739300310611725,1.3144739866256714,0.0,-0.9358298134803772,-0.6037975549697876,-0.3123368015885353
alpha_z_beta,0.08380799740552902,0.7458840012550354,1.0,0.3886336967349052,0.48029549419879913,0.566972469687462
