parameter,truth,prior_low,prior_high,fisher_mean,fisher_std,sbi_mean,sbi_std
P0,18.1,1.8325239419937134,34.34122085571289,20.678170701480056,5.030285323731957,nan,nan
xc,0.497,0.15001100301742554,0.8445029854774475,0.44588917824515134,0.11287954522790888,nan,nan
beta,4.35,3.4806270599365234,5.216610908508301,4.532554059625231,0.46765470963529726,nan,nan
alpha_m_P0,0.154,0.000311999989207834,0.29225099086761475,0.16485630789454306,0.0743805595897865,nan,nan
alpha_m_xc,-0.00865,-0.09971799701452255,0.09979499876499176,0.031228801511717797,0.04748810755709101,nan,nan
alpha_m_beta,0.0393,-0.0199350006878376,0.09976699948310852,0.037566419592387955,0.03310444101599098,nan,nan
alpha_z_P0,-0.758,-1.3634569644927979,-0.2288389950990677,-0.7848684954701719,0.3126819921957041,nan,nan
alpha_z_xc,0.731,0.14739300310611725,1.3144739866256714,0.7889909795007217,0.2831730366077704,nan,nan
alpha_z_beta,0.415,0.08380799740552902,0.7458840012550354,0.402141205705601,0.17352481696745928,nan,nan
