mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,6.876947886407827e-7,6.88061776318776e-7,0.0005336490606808741
1.0e12,0.01,0.01,6.827991770515186e-7,6.83560690937365e-7,0.0011152823720947946
1.0e12,0.01,0.03,6.72454975105752e-7,6.738997030734227e-7,0.00214843821691324
1.0e12,0.01,0.1,6.445848167848855e-7,6.470897179152517e-7,0.0038860690868585124
1.0e12,0.01,0.3,5.796232246151164e-7,5.825847646761512e-7,0.005109422699549837
1.0e12,0.01,1.0,4.0766596176613866e-7,4.114338799617965e-7,0.00924266077877589
1.0e12,0.01,2.0,2.5361077833721485e-7,2.621906891584316e-7,0.033831018056371454
1.0e12,0.01,4.0,1.0889891263726066e-7,1.2334505327361274e-7,0.13265642683202716
1.0e12,0.1,0.003,6.092546200680455e-7,6.092545843808088e-7,5.857524187913299e-8
1.0e12,0.1,0.01,6.049897453080929e-7,6.049896837057028e-7,1.0182385823398477e-7
1.0e12,0.1,0.03,5.959877820904856e-7,5.959876699747009e-7,1.8811758917269827e-7
1.0e12,0.1,0.1,5.717752710447662e-7,5.717750505414331e-7,3.8564685156394773e-7
1.0e12,0.1,0.3,5.153525257378418e-7,5.15352149884344e-7,7.293133904573423e-7
1.0e12,0.1,1.0,3.648478058965145e-7,3.648473464389747e-7,1.2593128762006245e-6
1.0e12,0.1,2.0,2.2796045656095294e-7,2.2796011291162497e-7,1.507495348773702e-6
1.0e12,0.1,4.0,9.746525536267274e-8,9.7465096797808e-8,1.6268860544288444e-6
1.0e12,0.5,0.003,4.5165736181420165e-7,4.516573608370137e-7,2.1635604419145693e-9
1.0e12,0.5,0.01,4.4870507666457425e-7,4.487050757102446e-7,2.1268528049844804e-9
1.0e12,0.5,0.03,4.424965957421742e-7,4.424965947347621e-7,2.2766550866748503e-9
1.0e12,0.5,0.1,4.2590299257146213e-7,4.2590299209319265e-7,1.1229540630708357e-9
1.0e12,0.5,0.3,3.8732531441547745e-7,3.873253133044129e-7,2.8685565034436422e-9
1.0e12,0.5,1.0,2.819049421072509e-7,2.8190494443884506e-7,8.270852225322756e-9
1.0e12,0.5,2.0,1.8075044833697582e-7,1.807504503856568e-7,1.13343063823379e-8
1.0e12,0.5,4.0,7.813903626465134e-8,7.813903525249884e-8,1.2953224604039804e-8
1.0e12,1.0,0.003,4.1332665735588773e-7,4.133266573808092e-7,6.02948801997627e-11
1.0e12,1.0,0.01,4.1081097293504845e-7,4.1081097299578193e-7,1.4783796409290062e-10
1.0e12,1.0,0.03,4.05537527881173e-7,4.0553752817201984e-7,7.171885307855064e-10
1.0e12,1.0,0.1,3.9152603517181246e-7,3.9152603583233097e-7,1.6870360664000827e-9
1.0e12,1.0,0.3,3.5907618252036313e-7,3.590761858174276e-7,9.182075100255815e-9
